year,total_anthropogenic
1751,0.0074077664356472
1752,0.0127943131839762
1753,0.0116764291676884
1754,0.0056551330768788
1755,0.01253785524943
1756,0.017448520933871
1757,0.0098834661610617
1758,0.0156869264147074
1759,0.0163768499816099
1760,0.0131254520021372
1761,0.0182437634109078
1762,0.023319148513526
1763,0.0254011232156581
1764,0.0396430048850343
1765,0.0266174803179639
1766,0.0355808603945151
1767,0.0369423569219929
1768,0.0252910100733045
1769,0.0335701800572446
1770,0.0354244498052861
1771,0.0471999152178406
1772,0.0537545716664788
1773,0.0539774509342561
1774,0.0421193185292543
1775,0.0508374426496583
1776,0.0569189176008328
1777,0.0536126271839467
1778,0.0511958952203715
1779,0.0586886368439976
1780,0.0526876407361542
1781,0.0593812676233378
1782,0.0629611805151782
1783,0.067113413211223
1784,0.0778147717609819
1785,0.0688865858259324
1786,0.0767143779135263
1787,0.0738611167799177
1788,0.0632990880991605
1789,0.0719074354225419
1790,0.0729981225029734
1791,0.0838623871748207
1792,0.0895598466362359
1793,0.0907069290515039
1794,0.0783267155408045
1795,0.0867576318059449
1796,0.0932834130489278
1797,0.0896976604399253
1798,0.0877859119811027
1799,0.0912007077108822
1800,0.0885417130312854
1801,0.0948325907699007
1802,0.0956947071571162
1803,0.1028764368377206
1804,0.1089652241495246
1805,0.10171495464597
1806,0.1070953796937121
1807,0.1056760601258928
1808,0.0957047498130557
1809,0.1031666642687525
1810,0.1036255282004905
1811,0.1124494742043854
1812,0.1196905064005152
1813,0.1186845460176519
1814,0.1070245884788342
1815,0.1142982348182977
1816,0.1172722778470099
1817,0.1172466784343909
1818,0.1124414108755881
1819,0.1179215799526471
1820,0.1133597509905409
1821,0.1179087745603671
1822,0.1202766768859023
1823,0.1273898481433406
1824,0.1313497617654452
1825,0.1256334591031655
1826,0.1317420725805545
1827,0.1297983248548423
1828,0.11805767307432
1829,0.1251807695838966
1830,0.12271773457117
1831,0.133854815453973
1832,0.1384114532988616
1833,0.1371789806817989
1834,0.1267836573132816
1835,0.1347172218838879
1836,0.1334429098290614
1837,0.1335921282043263
1838,0.1292978579677972
1839,0.133119731102937
1840,0.1324077859105023
1841,0.1311089732030346
1842,0.1342902630424312
1843,0.1427811198335821
1844,0.1449535136632838
1845,0.1362592578664994
1846,0.1425045261051548
1847,0.1358184626124712
1848,0.1258441012214404
1849,0.1305983082826806
1850,0.127901617589648
1851,0.1408068703622077
1852,0.1489172701039984
1853,0.1484195144699821
1854,0.1351335621423073
1855,0.1456628206831798
1856,0.1476307868335572
1857,0.1457285153228628
1858,0.1461930393352287
1859,0.1495712782214766
1860,0.1506048226392414
1861,0.1576315503671475
1862,0.1628018119628409
1863,0.1732585108657605
1864,0.1774704543447085
1865,0.1694830396781611
1866,0.1798078316792936
1867,0.1744800891207892
1868,0.1681216190050145
1869,0.176977216238461
1870,0.1721210805602043
1871,0.1812055824210547
1872,0.1866737616708798
1873,0.1746268435114275
1874,0.1732715496209018
1875,0.1854832381464567
1876,0.182723961014455
1877,0.1838895661059807
1878,0.1859491315803113
1879,0.1793957224974898
1880,0.1766911098004907
1881,0.1799101313389993
1882,0.1834189426185359
1883,0.1913188631766852
1884,0.1897529288639879
1885,0.1916417691529139
1886,0.2011730380340023
1887,0.1982732947099986
1888,0.1833619368825594
1889,0.197316040905589
1890,0.1887499679416038
1891,0.2012296937968352
1892,0.2119086206818692
1893,0.2159134343475178
1894,0.2045302058534743
1895,0.2086869135688524
1896,0.2139645768474263
1897,0.2032195351899224
1898,0.2002159642237103
1899,0.1805237282232042
1900,0.1785298291707366
1901,0.1802659249037308
1902,0.1819420935213868
1903,0.1739449602925779
1904,0.1630873648553099
1905,0.1510524630234023
1906,0.1449163924140141
1907,0.1118552727212418
1908,0.135098874740289
1909,0.1344925868938003
1910,0.1185746877325007
1911,0.1406695577931103
1912,0.1463662510579896
1913,0.1363758742524956
1914,0.1739224235924691
1915,0.200889691153044
1916,0.1836167231104863
1917,0.1742428772398232
1918,0.1852830859375194
1919,0.2577136247106679
1920,0.2303119518929308
1921,0.3141532299489477
1922,0.3182986234082558
1923,0.2751476105034364
1924,0.3008974029757064
1925,0.3038767765114916
1926,0.2932129799031661
1927,0.2697622421859379
1928,0.2698089436828392
1929,0.2383626891262653
1930,0.2634469016058602
1931,0.3449328724072624
1932,0.3905821767371837
1933,0.3827931001609057
1934,0.343432622108054
1935,0.3275502583159286
1936,0.3031356118590957
1937,0.2934610763063761
1938,0.3525093876060395
1939,0.3233359962403764
1940,0.2946429363517626
1941,0.2914815834336476
1942,0.2834113999860012
1943,0.2922573269806942
1944,0.3099876580299969
1945,0.3913100792919866
1946,0.4125912184825895
1947,0.3670061723871673
1948,0.3403495456102738
1949,0.3916023123371648
1950,0.3459778096992453
1951,0.3581168676410402
1952,0.3464703128483864
1953,0.3408400400485465
1954,0.3465121664429578
1955,0.3148862475279541
1956,0.2740898786916199
1957,0.250591030150184
1958,0.2856883871059104
1959,0.2808022942140517
1960,0.2641366119885659
1961,0.2494678173688745
1962,0.2745200760206195
1963,0.2395958279706911
1964,0.2725347689026975
1965,0.2683764968266688
1966,0.2821256392700962
1967,0.2829558461035608
1968,0.2927840728805667
1969,0.3094659688242685
1970,0.2932286225368314
1971,0.3248086557973686
1972,0.3158468995322794
1973,0.3724915647674826
1974,0.4259465795185749
1975,0.4819616574280873
1976,0.455882502395312
1977,0.5103539329541039
1978,0.5609611632578939
1979,0.595729345765472
1980,0.6625511294280533
1981,0.745817410793249
1982,0.7503309377485444
1983,0.8812567025379471
1984,0.9078019945394528
1985,0.9467179344994424
1986,0.9997662437643406
1987,1.010176685911209
1988,1.0807648058177164
1989,1.149197955489813
1990,1.1726693178076402
1991,1.1177023363833587
1992,1.3080674449892202
1993,1.3243911910375703
1994,1.3044151754490698
1995,1.4277719303794052
1996,1.50432656191841
1997,1.3758353079329646
1998,1.4638774622983703
1999,1.669218927915133
2000,1.7394769610843517
